"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,31,21460444,"ok",NA,-126.886659823738,-126.703886399089,-126.703886399089,0.182773424648929,0.182773424648929,"matern","matern",0.000659534412080591,0.000659534412080591,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,26,21460439,"ok",NA,-122.884725048398,-122.364480071291,-122.364480071291,0.520244977107495,0.520244977107495,"matern","matern",8.40564011788316e-49,8.40564011788316e-49,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,4,21460417,"ok",NA,-128.214021464347,-128.062970991633,-128.062970991633,0.151050472714246,0.151050472714246,"matern","matern",0.000202494980529268,0.000202494980529268,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,16,21460429,"ok",NA,-121.589487720449,-121.318540828349,-121.318540828349,0.27094689210071,0.27094689210071,"matern","matern",6.47072405173887e-30,6.47072405173887e-30,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,2,21460415,"ok",NA,-133.415748147733,-133.399949843974,-133.399949843974,0.0157983037591407,0.0157983037591407,"matern","matern",0.000142501507060668,0.000142501507060668,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,33,21460446,"ok",NA,-131.186219077383,-128.815501164658,-128.815501164658,2.37071791272444,2.37071791272444,"matern","matern",0.0157801104440179,0.0157801104440179,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,8,21460421,"ok",NA,-119.896912346408,-119.73701429908,-119.73701429908,0.159898047328113,0.159898047328113,"matern","matern",0.000178996789636918,0.000178996789636918,1,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,24,21460437,"ok",NA,-132.333164225131,-132.180456197756,-132.180456197756,0.152708027374615,0.152708027374615,"matern","matern",8.92702290843224e-05,8.92702290843224e-05,1,FALSE
"increasing_domain__tau0_0.2__n_320","increasing_domain","increasing-domain",0.2,320,6,21560419,"ok",NA,-59.3727138865328,-58.4457192973646,-58.4457192973646,0.926994589168146,0.926994589168146,"matern","matern",0.000141726941855874,0.000141726941855874,1,FALSE
"increasing_domain__tau0_0.2__n_320","increasing_domain","increasing-domain",0.2,320,14,21560427,"ok",NA,-40.0893144618836,-39.1262566806503,-39.1262566806503,0.96305778123326,0.96305778123326,"matern","matern",0.0138478474499481,0.0138478474499481,1,FALSE
